age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
0,feeding & nutrition,Learn to recognize early feeding needs.,Identifying newborn hunger cues,Helps parents feed before the baby becomes distressed.,"Watch for rooting, sucking motions, and hand-to-mouth movements.","['Observe baby closely', 'Respond calmly']",['Wait for intense crying'],Early cues lead to calmer feeding sessions.
0,feeding & nutrition,Support effective breastfeeding from birth.,Positioning baby for first latch,Proper positioning improves milk transfer and comfort.,Hold baby tummy-to-tummy and align nose with the nipple before latching.,"['Support baby’s neck', 'Stay relaxed']",['Force baby’s head'],Good positioning often solves latch problems.
0,feeding & nutrition,Prepare formula safely for newborn feeding.,Measuring formula correctly,Incorrect ratios can affect hydration and nutrition.,Follow package instructions exactly when mixing formula and water.,"['Use clean utensils', 'Measure carefully']",['Estimate quantities'],Accuracy is more important than speed.
0,feeding & nutrition,Reduce feeding-related discomfort.,Burping baby during feeds,Releases trapped air and lowers fussiness.,Pause feeding midway and gently pat the baby’s back while upright.,"['Be patient', 'Support baby’s head']",['Skip burping breaks'],Some newborns need multiple burping pauses.
0,sleep & bedtime safety,Create a safe sleep environment.,Placing baby on back to sleep,Reduces the risk of sudden infant death.,"Always lay the baby on their back on a firm, flat surface.","['Use firm mattress', 'Clear sleep area']",['Place baby on stomach'],Back sleeping is safest for every nap.
0,sleep & bedtime safety,Prevent overheating during sleep.,Dressing newborn appropriately for sleep,Overheating increases sleep-related risks.,Dress baby in one light layer more than an adult would wear.,['Check baby’s chest warmth'],['Overbundle baby'],Cool hands and feet are normal.
0,hygiene & daily care,Maintain cleanliness during frequent diaper changes.,Safe newborn diapering,Prevents rashes and skin irritation.,Clean gently from front to back and allow skin to dry before diapering.,"['Use gentle wipes', 'Change promptly']",['Rub harshly'],Gentle care protects delicate skin.
0,hygiene & daily care,Care for the umbilical cord safely.,Keeping umbilical stump clean and dry,Reduces infection risk.,Keep stump exposed to air and avoid covering with tight diapers.,['Fold diaper below stump'],['Apply home remedies'],The stump falls off naturally in time.
0,emotional & social care,Build early emotional security.,Responding promptly to newborn crying,Helps baby feel safe and understood.,Pick up the baby calmly and check basic needs when crying starts.,"['Stay responsive', 'Use gentle touch']",['Ignore prolonged crying'],You cannot spoil a newborn.
0,emotional & social care,Strengthen parent–baby bonding.,Skin-to-skin contact,Regulates baby’s temperature and heart rate.,Place baby against bare chest while both are calm and alert.,"['Ensure warmth', 'Stay relaxed']",['Rush the moment'],Even short skin-to-skin sessions help.
0,safety & emergency awareness,Handle newborn safely during daily care.,Supporting head and neck while holding,Newborns lack neck strength and need full support.,Place one hand under the baby’s head and neck whenever lifting or carrying.,"['Move slowly', 'Maintain steady support']",['Let head tilt backward'],Always support the head before lifting.
0,safety & emergency awareness,Reduce choking risks from the start.,Keeping small objects away from newborn,Newborns can accidentally inhale tiny items.,Check sleeping and feeding areas for small or loose objects regularly.,"['Inspect surroundings', 'Store items safely']",['Leave objects unattended nearby'],"If it fits in your mouth, it’s unsafe for baby."
0,safety & emergency awareness,Travel safely with a newborn.,Using rear-facing car seat correctly,Protects baby’s spine and head during travel.,Install the car seat according to manufacturer guidelines and secure baby snugly.,"['Check harness fit', 'Follow instructions']",['Hold baby on lap in car'],Correct installation matters more than brand.
0,development support,Encourage early sensory awareness.,Providing gentle visual stimulation,Supports early visual development.,Hold high-contrast objects about 8–12 inches from baby’s face.,['Use black-and-white patterns'],['Overstimulate for long periods'],"Short, calm sessions work best."
0,development support,Support early muscle activation.,Introducing brief tummy time,Strengthens neck and upper body muscles.,Place baby on tummy for a few seconds while awake and supervised.,"['Stay nearby', 'Start with short duration']",['Force long sessions'],Even 10–20 seconds counts.
0,development support,Build early auditory awareness.,Talking softly to newborn,Helps baby recognize voices and rhythm of speech.,Speak slowly and gently during routine care activities.,['Use natural voice'],['Shout or speak abruptly'],Your voice is the best sound for your baby.
0,parent self-care,Support physical recovery after birth.,Prioritizing postpartum rest,Helps healing and prevents exhaustion.,Rest whenever the baby sleeps and limit unnecessary activities.,"['Accept help', 'Sleep when possible']",['Overexert early'],Rest is part of newborn care.
0,parent self-care,Manage emotional changes after delivery.,Recognizing normal postpartum emotions,Helps parents seek support when needed.,Notice mood changes and openly discuss feelings with trusted people.,"['Talk openly', 'Monitor emotions']",['Ignore persistent sadness'],Asking for help is a strength.
0,parental teamwork,Share newborn responsibilities effectively.,Dividing basic care tasks,Prevents burnout and supports bonding for both parents.,"Agree on who handles feeding support, diapering, and soothing shifts.",['Communicate clearly'],['Assume roles without discussion'],Teamwork reduces stress for everyone.
0,parental teamwork,Maintain healthy communication after birth.,Checking in emotionally with partner,Supports relationship stability during adjustment.,Set aside a few minutes daily to ask how each other is coping.,['Listen without judgment'],['Dismiss partner’s feelings'],Small check-ins build strong support.
0,sleep & bedtime safety,Help newborn settle during sleep times.,Using gentle soothing techniques,Calms the baby and supports smoother sleep transitions.,"Rock slowly, use soft shushing sounds, or gentle swaying when baby is fussy.","['Keep movements slow', 'Stay calm']",['Overstimulate baby'],Consistency helps babies feel secure.
0,sleep & bedtime safety,Understand newborn sleep behavior.,Recognizing short sleep cycles,Prevents unrealistic sleep expectations.,Notice frequent waking and irregular sleep patterns as normal.,['Adjust expectations'],['Force strict schedules'],Newborn sleep is unpredictable and normal.
0,hygiene & daily care,Keep newborn clean safely.,Giving sponge baths,Maintains hygiene before the umbilical cord falls off.,Use a warm damp cloth to gently clean baby without submerging in water.,"['Keep baby warm', 'Work gently']",['Soak the stump area'],Warmth and speed keep baby comfortable.
0,hygiene & daily care,Prevent accidental scratches.,Trimming newborn nails safely,Newborn nails are sharp and can scratch skin.,Use baby nail clippers while the baby is calm or sleeping.,"['Trim carefully', 'Use good lighting']",['Pull nails with fingers'],"Short, frequent trims are safer."
0,hygiene & daily care,Dress baby safely and comfortably.,Choosing appropriate newborn clothing,Prevents overheating and skin irritation.,Select soft fabrics and avoid tight elastics or rough seams.,['Use breathable fabrics'],['Overdress baby'],Comfort matters more than style.
0,safety & emergency awareness,Create a safe home environment.,Checking sleeping area for hazards,Reduces risk of suffocation or injury.,"Remove pillows, loose blankets, and toys from baby’s sleep space.",['Keep crib empty'],['Add soft items'],Bare is best for newborn sleep.
0,emotional & social care,Encourage bonding with both parents.,Father engaging in daily care,Builds attachment and confidence for fathers.,"Encourage father to participate in diapering, holding, and soothing.",['Share care opportunities'],['Limit involvement'],Early involvement builds strong bonds.
0,emotional & social care,Support maternal emotional health.,Monitoring postpartum emotional wellbeing,Early awareness helps prevent severe postpartum challenges.,Observe emotional patterns and seek support if distress persists.,['Seek professional help if needed'],['Dismiss emotional struggles'],Mental health is part of newborn care.
